"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","","","32527","","IohkIoTest.IohkIoCareersTest","","IohkIoTest.IohkIoCareersTest","","verifyCareersPage@Edge(version=""90"", platform=""WINDOWS"")",""
"passed","","","38069","","IohkIoTest.IohkIoHomeTest","","IohkIoTest.IohkIoHomeTest","","verifyLogoRedirectsToHomepage@Safari(version=""14"", platform=""MAC"")",""
"passed","","","811966","","IohkIoTest.IohkIoHomeTest","","IohkIoTest.IohkIoHomeTest","","verifyInformationModalOnAnimation@Edge(version=""90"", platform=""WINDOWS"")",""
"passed","","","24887","","IohkIoTest.IohkIoBlogTest","","IohkIoTest.IohkIoBlogTest","","verifyNoSearchResultsPresent@Firefox(version=""88"", platform=""MAC"")",""
"passed","","","167475","","IohkIoTest.IohkIoHomeTest","","IohkIoTest.IohkIoHomeTest","","verifyHomePageMenuItems@Edge(version=""90"", platform=""WINDOWS"")",""
"passed","","","57545","","IohkIoTest.IohkIoHomeTest","","IohkIoTest.IohkIoHomeTest","","verifyHomePageMenuItems@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","70688","","IohkIoTest.IohkIoHomeTest","","IohkIoTest.IohkIoHomeTest","","verifyAboutLinks@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","51946","","IohkIoTest.IohkIoResearchTest","","IohkIoTest.IohkIoResearchTest","","verifyResearchPage@Firefox(version=""88"", platform=""MAC"")",""
"passed","","","34679","","IohkIoTest.IohkIoBlogTest","","IohkIoTest.IohkIoBlogTest","","verifyBlogPage@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","17907","","IohkIoTest.IohkIoBlogTest","","IohkIoTest.IohkIoBlogTest","","verifySearchResultsPresent@Safari(version=""14"", platform=""MAC"")",""
"passed","","","62141","","IohkIoTest.IohkIoBlogTest","","IohkIoTest.IohkIoBlogTest","","verifyNoSearchResultsPresent@Edge(version=""90"", platform=""WINDOWS"")",""
"passed","","","19269","","IohkIoTest.IohkIoHomeTest","","IohkIoTest.IohkIoHomeTest","","verifyTeamMembers@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","11561","","IohkIoTest.IohkIoHomeTest","","IohkIoTest.IohkIoHomeTest","","verifyRssFeeds@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","24896","","IohkIoTest.IohkIoBlogTest","","IohkIoTest.IohkIoBlogTest","","verifySearchResultsPresent@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","62051","","IohkIoTest.IohkIoHomeTest","","IohkIoTest.IohkIoHomeTest","","verifyMenuRedirection@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","344323","","IohkIoTest.IohkIoResearchTest","","IohkIoTest.IohkIoResearchTest","","verifyResearchersTeamPage@Edge(version=""90"", platform=""WINDOWS"")",""
"broken","","","26807","","IohkIoTest.IohkIoBlogTest","","IohkIoTest.IohkIoBlogTest","","verifySearchBoxValidation@Edge(version=""90"", platform=""WINDOWS"")",""
