"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","","","17954","","MobileSummitTests.CardanoMobileSummitHomePageTest","","MobileSummitTests.CardanoMobileSummitHomePageTest","","verifyHeaderVideoTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","89515","","MobileSummitTests.CardanoMobileSummitHomePageTest","","MobileSummitTests.CardanoMobileSummitHomePageTest","","verifyExploreWorldsTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","79238","","MobileSummitTests.CardanoMobileSummitSpeakersPageTest","","MobileSummitTests.CardanoMobileSummitSpeakersPageTest","","verifyMobileBurgerMenuTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","20294","","MobileSummitTests.CardanoMobileSummitHomePageTest","","MobileSummitTests.CardanoMobileSummitHomePageTest","","verifyAllArticlesButtonTest@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","570856","","MobileSummitTests.CardanoMobileSummitSessionsTest","","MobileSummitTests.CardanoMobileSummitSessionsTest","","verifySessionPageTogglesTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","59788","","MobileSummitTests.CardanoMobileSummitHomePageTest","","MobileSummitTests.CardanoMobileSummitHomePageTest","","verifyMobileBurgerMenuTest@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","277665","","MobileSummitTests.NewsPageTest","","MobileSummitTests.NewsPageTest","","verifyNewsSectionsTest@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","320896","","MobileSummitTests.CardanoMobileSummitSpeakersPageTest","","MobileSummitTests.CardanoMobileSummitSpeakersPageTest","","verfiySpeakersPageDropdownSortingTest@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","65149","","MobileSummitTests.CardanoMobileSummitSpeakersPageTest","","MobileSummitTests.CardanoMobileSummitSpeakersPageTest","","verifyMobileBurgerMenuTest@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","543145","","MobileSummitTests.CardanoMobileSummitSessionsTest","","MobileSummitTests.CardanoMobileSummitSessionsTest","","verifySessionPageTogglesTest@Android(version=""10"", platform=""ANDROID"")",""
"failed","","","28346","","MobileSummitTests.CardanoMobileSummitSessionsTest","","MobileSummitTests.CardanoMobileSummitSessionsTest","","verifySessionPageVideoPlaybackTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","35056","","MobileSummitTests.CardanoMobileSummitHomePageTest","","MobileSummitTests.CardanoMobileSummitHomePageTest","","verifyViewButtonsTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","43283","","MobileSummitTests.CardanoMobileSummitHomePageTest","","MobileSummitTests.CardanoMobileSummitHomePageTest","","verifyPartnerSectionTest@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","402212","","MobileSummitTests.CardanoMobileSummitSpeakersPageTest","","MobileSummitTests.CardanoMobileSummitSpeakersPageTest","","verfiySpeakersPageDropdownSortingTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","74183","","MobileSummitTests.CardanoMobileSummitHomePageTest","","MobileSummitTests.CardanoMobileSummitHomePageTest","","verifyExploreWorldsTest@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","22726","","MobileSummitTests.CardanoMobileSummitHomePageTest","","MobileSummitTests.CardanoMobileSummitHomePageTest","","verifyHeaderVideoTest@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","90462","","MobileSummitTests.CardanoMobileSummitHomePageTest","","MobileSummitTests.CardanoMobileSummitHomePageTest","","verifyPartnerSectionTest@IPhone(version=""11"", platform=""IOS"")",""
"broken","","","60752","","MobileSummitTests.ContactMobileTest","","MobileSummitTests.ContactMobileTest","","verifyContactPageTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","","","MobileSummitTests.CardanoMobileSummitSpeakersPageTest","","MobileSummitTests.CardanoMobileSummitSpeakersPageTest","","verfiySpeakersSections@Android(version=""10"", platform=""ANDROID"")",""
"broken","","","65119","","MobileSummitTests.ContactMobileTest","","MobileSummitTests.ContactMobileTest","","verifyContactPageTest@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","13090","","MobileSummitTests.CardanoMobileSummitHomePageTest","","MobileSummitTests.CardanoMobileSummitHomePageTest","","verifyAllArticlesButtonTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","27105","","MobileSummitTests.CardanoMobileSummitHomePageTest","","MobileSummitTests.CardanoMobileSummitHomePageTest","","verifyViewButtonsTest@Android(version=""10"", platform=""ANDROID"")",""
"failed","","","","","MobileSummitTests.CardanoMobileSummitSessionsTest","","MobileSummitTests.CardanoMobileSummitSessionsTest","","verifySessionPageVideoPlaybackTest@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","75371","","MobileSummitTests.CardanoMobileSummitHomePageTest","","MobileSummitTests.CardanoMobileSummitHomePageTest","","verifyMobileBurgerMenuTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","","","MobileSummitTests.CardanoMobileSummitSpeakersPageTest","","MobileSummitTests.CardanoMobileSummitSpeakersPageTest","","verfiySpeakersSections@IPhone(version=""11"", platform=""IOS"")",""
"broken","","","87636","","MobileSummitTests.NewsPageTest","","MobileSummitTests.NewsPageTest","","verifyNewsSectionsTest@IPhone(version=""11"", platform=""IOS"")",""
