"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","181921","","DesktopCardanoDevelopersPageTests.CardanoDevelopersTestNetsPageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersTestNetsPageTest","","verifyTestNetsCardanoSubmenuTest@Edge(version=""90"", platform=""WINDOWS"")",""
"passed","","","91734","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","verifyFooterSection@Safari(version=""14"", platform=""MAC"")",""
"passed","","","18490","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","verifyMainMenuItems@Edge(version=""90"", platform=""WINDOWS"")",""
"passed","","","15659","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","verifySearchBar@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","99487","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","verifyFooterSection@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","83126","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","verifySocialsSectionAboveFooterSection@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","2","","MobileCardanoDevelopersPageTests.MobileCardanoDevelopersHomePageTest","","MobileCardanoDevelopersPageTests.MobileCardanoDevelopersHomePageTest","","verifyMainMenuItems",""
"passed","","","149652","","DesktopCardanoDevelopersPageTests.CardanoDevelopersTestNetsPageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersTestNetsPageTest","","verifyTestNetsCardanoSubmenuTest@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","166859","","DesktopCardanoDevelopersPageTests.CardanoDevelopersTestNetsPageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersTestNetsPageTest","","verifyTestNetsCardanoSubmenuTest@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","36249","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","verifySocialsSectionAboveFooterSection@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","199987","","DesktopCardanoDevelopersPageTests.CardanoDevelopersVirtualMachinesPageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersVirtualMachinesPageTest","","verifyVirtualMachinesLeftMenuItems@Firefox(version=""88"", platform=""MAC"")",""
"passed","","","19519","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","verifyMainMenuItems@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","10760","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","verifyFindOutMoreButton@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","494084","","DesktopCardanoDevelopersPageTests.CardanoDeveloersProgrammingLanguagesPageTest","","DesktopCardanoDevelopersPageTests.CardanoDeveloersProgrammingLanguagesPageTest","","verifyCopyFunctionality@Firefox(platform=""MAC"")",""
"passed","","","8795","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","verifyFindOutMoreButton@Chrome(version=""90"", platform=""MAC"")",""
"broken","","","172491","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","verifyFooterSection@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","13614","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","verifySearchBar@Firefox(version=""88"", platform=""MAC"")",""
"passed","","","92974","","DesktopCardanoDevelopersPageTests.CardanoDeveloersProgrammingLanguagesPageTest","","DesktopCardanoDevelopersPageTests.CardanoDeveloersProgrammingLanguagesPageTest","","verifyProgrammingLanguagesLeftMenuItems@Chrome(platform=""MAC"")",""
"passed","","","17256","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","verifyMainMenuItems@Firefox(version=""88"", platform=""MAC"")",""
"passed","","","29878","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","verifyMainMenuItems@Safari(version=""14"", platform=""MAC"")",""
"passed","","","18920","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","verifyMainMenuItems@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","9658","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","verifySupportRequestButton@Safari(version=""14"", platform=""MAC"")",""
"passed","","","139952","","DesktopCardanoDevelopersPageTests.CardanoDevelopersTestNetsPageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersTestNetsPageTest","","verifyTestNetsCardanoSubmenuTest@Safari(version=""14"", platform=""MAC"")",""
"passed","","","6023","","DesktopCardanoDevelopersPageTests.CardanoDeveloersProgrammingLanguagesPageTest","","DesktopCardanoDevelopersPageTests.CardanoDeveloersProgrammingLanguagesPageTest","","verifyProgrammingLanguagesLeftMenuItems@Safari(platform=""MAC"")",""
"passed","","","96298","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","verifyFooterSection@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","10895","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","verifyFindOutMoreButton@Edge(version=""90"", platform=""WINDOWS"")",""
"passed","","","84795","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","verifySocialsSectionAboveFooterSection@Edge(version=""90"", platform=""WINDOWS"")",""
"passed","","","225990","","DesktopCardanoDevelopersPageTests.CardanoDevelopersVirtualMachinesPageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersVirtualMachinesPageTest","","verifyVirtualMachinesLeftMenuItems@Safari(version=""14"", platform=""MAC"")",""
"passed","","","99103","","DesktopCardanoDevelopersPageTests.CardanoDeveloersProgrammingLanguagesPageTest","","DesktopCardanoDevelopersPageTests.CardanoDeveloersProgrammingLanguagesPageTest","","verifyProgrammingLanguagesLeftMenuItems@Firefox(platform=""MAC"")",""
"passed","","","146755","","DesktopCardanoDevelopersPageTests.CardanoDevelopersTestNetsPageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersTestNetsPageTest","","verifyTestNetsCardanoSubmenuTest@Firefox(version=""88"", platform=""MAC"")",""
"passed","","","209752","","DesktopCardanoDevelopersPageTests.CardanoDevelopersVirtualMachinesPageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersVirtualMachinesPageTest","","verifyVirtualMachinesLeftMenuItems@Chrome(version=""90"", platform=""MAC"")",""
"broken","","","4513","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","verifyEmbededSupportSection@Safari(version=""14"", platform=""MAC"")",""
"passed","","","9308","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","verifyFindOutMoreButton@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","34407","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","verifySocialsSectionAboveFooterSection@Firefox(version=""88"", platform=""MAC"")",""
"passed","","","9778","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","verifySupportRequestButton@Firefox(version=""88"", platform=""MAC"")",""
"passed","","","218059","","DesktopCardanoDevelopersPageTests.CardanoDevelopersVirtualMachinesPageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersVirtualMachinesPageTest","","verifyVirtualMachinesLeftMenuItems@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","12500","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","verifySearchBar@Safari(version=""14"", platform=""MAC"")",""
"passed","","","76346","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","DesktopCardanoDevelopersPageTests.CardanoDevelopersHomePageTest","","verifyFooterSection@Firefox(version=""88"", platform=""MAC"")",""
