"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","13094","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyFooterLinksTest@Firefox(version=""77"", platform=""MAC"")",""
"broken","","","142521","","MobileTests.AfricaMobileHomePageTest","","MobileTests.AfricaMobileHomePageTest","","verifyPartnerLogoButtonsTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","17930","","MobileTests.AfricaMobileHomePageTest","","MobileTests.AfricaMobileHomePageTest","","verifyMobileHomePageMobileTest@Android(version=""10"", platform=""ANDROID"")",""
"broken","","","13529","","MobileTests.AfricaMobileHomePageTest","","MobileTests.AfricaMobileHomePageTest","","verifyPartnerLogoButtonsTest@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","18415","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyNavBarButtonsTest@Edge(version=""83"", platform=""WINDOWS"")",""
"passed","","","46640","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySocialMediaLinksTest@Firefox(version=""77"", platform=""MAC"")",""
"passed","","","46782","","MobileTests.AfricaMobileHomePageTest","","MobileTests.AfricaMobileHomePageTest","","verifySocialMediaLinksMobileTest@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","11249","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyFooterLinksTest@Chrome(version=""87"", platform=""MAC"")",""
"passed","","","294546","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePagePartnerLinksTest@Chrome(version=""87"", platform=""WINDOWS"")",""
"failed","","","29478","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePagePartnerLinksTest@Firefox(version=""77"", platform=""MAC"")",""
"passed","","","16056","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyNavBarButtonsTest@Firefox(version=""77"", platform=""WINDOWS"")",""
"broken","","","15138","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySocialMediaLinksTest@Safari(version=""13"", platform=""MAC"")",""
"passed","","","17186","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySignUpSectionTest@Firefox(version=""77"", platform=""MAC"")",""
"passed","","","13191","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyNavBarButtonsTest@Safari(version=""13"", platform=""MAC"")",""
"passed","","","11555","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyFooterLinksTest@Firefox(version=""77"", platform=""WINDOWS"")",""
"passed","","","16574","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySignUpSectionTest@Chrome(version=""87"", platform=""MAC"")",""
"broken","","","311178","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePagePartnerLinksTest@Chrome(version=""87"", platform=""MAC"")",""
"passed","","","79851","","MobileTests.AfricaMobileHomePageTest","","MobileTests.AfricaMobileHomePageTest","","verifyNavBarButtonsTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","11247","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyFooterLinksTest@Edge(version=""83"", platform=""WINDOWS"")",""
"passed","","","14628","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyFooterLinksTest@Safari(version=""13"", platform=""MAC"")",""
"passed","","","41349","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySocialMediaLinksTest@Chrome(version=""87"", platform=""MAC"")",""
"broken","","","78528","","MobileTests.AfricaMobileHomePageTest","","MobileTests.AfricaMobileHomePageTest","","verifySignupSectionMobileTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","122436","","MobileTests.AfricaMobileHomePageTest","","MobileTests.AfricaMobileHomePageTest","","verifyMobileHomePageMobileTest@IPhone(version=""11"", platform=""IOS"")",""
"broken","","","15110","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySignUpSectionTest@Safari(version=""13"", platform=""MAC"")",""
"passed","","","16771","","MobileTests.AfricaMobileHomePageTest","","MobileTests.AfricaMobileHomePageTest","","verifySignupSectionMobileTest@Android(version=""10"", platform=""ANDROID"")",""
"broken","","","21481","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePagePartnerLinksTest@Firefox(version=""77"", platform=""WINDOWS"")",""
"passed","","","12173","","MobileTests.AfricaMobileHomePageTest","","MobileTests.AfricaMobileHomePageTest","","verifyFooterLinksMobileTest@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","81088","","MobileTests.AfricaMobileHomePageTest","","MobileTests.AfricaMobileHomePageTest","","verifySocialMediaLinksMobileTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","30847","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyNavBarButtonsTest@Chrome(version=""87"", platform=""WINDOWS"")",""
"passed","","","21587","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePageTest@Firefox(version=""77"", platform=""WINDOWS"")",""
"passed","","","13706","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePageTest@Safari(version=""13"", platform=""MAC"")",""
"broken","","","15862","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePagePartnerLinksTest@Safari(version=""13"", platform=""MAC"")",""
"passed","","","19136","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySignUpSectionTest@Edge(version=""83"", platform=""WINDOWS"")",""
"passed","","","18752","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePageTest@Firefox(version=""77"", platform=""MAC"")",""
"passed","","","245024","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePagePartnerLinksTest@Edge(version=""83"", platform=""WINDOWS"")",""
"passed","","","15239","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyNavBarButtonsTest@Chrome(version=""87"", platform=""MAC"")",""
"passed","","","24654","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePageTest@Edge(version=""83"", platform=""WINDOWS"")",""
"passed","","","17188","","MobileTests.AfricaMobileHomePageTest","","MobileTests.AfricaMobileHomePageTest","","verifyNavBarButtonsTest@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","77081","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySocialMediaLinksTest@Chrome(version=""87"", platform=""WINDOWS"")",""
"passed","","","18438","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePageTest@Chrome(version=""87"", platform=""MAC"")",""
"passed","","","23555","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySignUpSectionTest@Chrome(version=""87"", platform=""WINDOWS"")",""
"broken","","","60401","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySocialMediaLinksTest@Firefox(version=""77"", platform=""WINDOWS"")",""
"passed","","","19545","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySignUpSectionTest@Firefox(version=""77"", platform=""WINDOWS"")",""
"passed","","","11454","","MobileTests.AfricaMobileHomePageTest","","MobileTests.AfricaMobileHomePageTest","","verifyFooterLinksMobileTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","10942","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyFooterLinksTest@Chrome(version=""87"", platform=""WINDOWS"")",""
"passed","","","77145","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySocialMediaLinksTest@Edge(version=""83"", platform=""WINDOWS"")",""
"passed","","","36211","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePageTest@Chrome(version=""87"", platform=""WINDOWS"")",""
"passed","","","19644","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyNavBarButtonsTest@Firefox(version=""77"", platform=""MAC"")",""
