"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","","","16296","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySignUpSectionTest@Safari(version=""13"", platform=""MAC"")",""
"passed","","","22273","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyNavBarButtonsTest@Firefox(version=""77"", platform=""MAC"")",""
"passed","","","24307","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySignUpSectionTest@Edge(version=""83"", platform=""WINDOWS"")",""
"passed","","","13691","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyFooterLinksTest@Firefox(version=""77"", platform=""MAC"")",""
"passed","","","24249","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyVideoSection@Chrome(version=""87"", platform=""MAC"")",""
"passed","","","142595","","MobileTests.AfricaMobileHomePageTest","","MobileTests.AfricaMobileHomePageTest","","verifyNavBarButtonsTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","144151","","MobileTests.AfricaMobileHomePageTest","","MobileTests.AfricaMobileHomePageTest","","verifyMobileHomePageMobileTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","22241","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyNavBarButtonsTest@Firefox(version=""77"", platform=""WINDOWS"")",""
"passed","","","118412","","MobileTests.AfricaMobileHomePageTest","","MobileTests.AfricaMobileHomePageTest","","verifySocialMediaLinksMobileTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","47187","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySocialMediaLinksTest@Edge(version=""83"", platform=""WINDOWS"")",""
"passed","","","46376","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePageTest@Edge(version=""83"", platform=""WINDOWS"")",""
"passed","","","76443","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySocialMediaLinksTest@Chrome(version=""87"", platform=""WINDOWS"")",""
"passed","","","15619","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyFooterLinksTest@Edge(version=""83"", platform=""WINDOWS"")",""
"passed","","","9485","","MobileTests.AfricaMobileHomePageTest","","MobileTests.AfricaMobileHomePageTest","","verifyFooterLinksMobileTest@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","17441","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyNavBarButtonsTest@Safari(version=""13"", platform=""MAC"")",""
"passed","","","11054","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyFooterLinksTest@Chrome(version=""87"", platform=""MAC"")",""
"passed","","","26441","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyVideoSection@Firefox(version=""77"", platform=""WINDOWS"")",""
"passed","","","33345","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySignUpSectionTest@Chrome(version=""87"", platform=""WINDOWS"")",""
"passed","","","24008","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyNavBarButtonsTest@Edge(version=""83"", platform=""WINDOWS"")",""
"passed","","","675853","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePagePartnerLinksTest@Edge(version=""83"", platform=""WINDOWS"")",""
"passed","","","30769","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyVideoSection@Edge(version=""83"", platform=""WINDOWS"")",""
"passed","","","56602","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySocialMediaLinksTest@Chrome(version=""87"", platform=""MAC"")",""
"passed","","","17976","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySignUpSectionTest@Firefox(version=""77"", platform=""MAC"")",""
"passed","","","24131","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyNavBarButtonsTest@Chrome(version=""87"", platform=""WINDOWS"")",""
"passed","","","17011","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySignUpSectionTest@Firefox(version=""77"", platform=""WINDOWS"")",""
"passed","","","22095","","MobileTests.AfricaMobileHomePageTest","","MobileTests.AfricaMobileHomePageTest","","verifyNavBarButtonsTest@Android(version=""10"", platform=""ANDROID"")",""
"broken","","","18109","","MobileTests.AfricaMobileHomePageTest","","MobileTests.AfricaMobileHomePageTest","","verifyVideoSectionMobileTest@IPhone(version=""11"", platform=""IOS"")",""
"failed","","","49858","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePagePartnerLinksTest@Firefox(version=""77"", platform=""MAC"")",""
"passed","","","23106","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePageTest@Chrome(version=""87"", platform=""MAC"")",""
"passed","","","26575","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePageTest@Chrome(version=""87"", platform=""WINDOWS"")",""
"broken","","","15092","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySocialMediaLinksTest@Safari(version=""13"", platform=""MAC"")",""
"broken","","","23921","","MobileTests.AfricaMobileHomePageTest","","MobileTests.AfricaMobileHomePageTest","","verifySocialMediaLinksMobileTest@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","19532","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePageTest@Safari(version=""13"", platform=""MAC"")",""
"passed","","","11442","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyFooterLinksTest@Chrome(version=""87"", platform=""WINDOWS"")",""
"passed","","","20810","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyNavBarButtonsTest@Chrome(version=""87"", platform=""MAC"")",""
"passed","","","8030","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyFooterLinksTest@Safari(version=""13"", platform=""MAC"")",""
