"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","","","18584","","AfricaHomePageTest","","AfricaHomePageTest","","verifyHomePagePartnerLinksTest@Firefox(version=""77"", platform=""WINDOWS"")",""
"passed","","","90633","","AfricaHomePageTest","","AfricaHomePageTest","","verifyHomePageMenuItemsTest@Chrome(version=""87"", platform=""WINDOWS"")",""
"passed","","","101846","","AfricaHomePageTest","","AfricaHomePageTest","","verifyHomePagePartnerLinksTest@Firefox(version=""77"", platform=""MAC"")",""
"passed","","","34756","","AfricaHomePageTest","","AfricaHomePageTest","","verifyAllHomePageElementsPresentTest@Edge(version=""83"", platform=""WINDOWS"")",""
"passed","","","120747","","AfricaHomePageTest","","AfricaHomePageTest","","verifyVideosFromHomePageTest@Chrome(version=""87"", platform=""WINDOWS"")",""
"passed","","","149885","","AfricaHomePageTest","","AfricaHomePageTest","","verifyDiscoverAndLetsTalkLinksTest@Chrome(version=""87"", platform=""WINDOWS"")",""
"passed","","","126583","","AfricaHomePageTest","","AfricaHomePageTest","","verifyHomePagePartnerLinksTest@Chrome(version=""87"", platform=""MAC"")",""
"broken","","","148010","","AfricaHomePageTest","","AfricaHomePageTest","","verifyFooterLinksTest@Chrome(version=""87"", platform=""WINDOWS"")",""
"passed","","","83168","","AfricaHomePageTest","","AfricaHomePageTest","","verifyHomePageMenuItemsTest@Chrome(version=""87"", platform=""MAC"")",""
"passed","","","123105","","AfricaHomePageTest","","AfricaHomePageTest","","verifyDiscoverAndLetsTalkLinksTest@Firefox(version=""77"", platform=""MAC"")",""
"passed","","","126452","","AfricaHomePageTest","","AfricaHomePageTest","","verifyVideosFromHomePageTest@Edge(version=""83"", platform=""WINDOWS"")",""
"passed","","","19620","","AfricaHomePageTest","","AfricaHomePageTest","","verifyAllHomePageElementsPresentTest@Chrome(version=""87"", platform=""MAC"")",""
"broken","","","27729","","AfricaHomePageTest","","AfricaHomePageTest","","verifySocialLinksTest@Safari(version=""13"", platform=""MAC"")",""
"passed","","","319983","","AfricaHomePageTest","","AfricaHomePageTest","","verifyHomePagePartnerLinksTest@Chrome(version=""87"", platform=""WINDOWS"")",""
"passed","","","33092","","AfricaHomePageTest","","AfricaHomePageTest","","verifyAllHomePageElementsPresentTest@Chrome(version=""87"", platform=""WINDOWS"")",""
"passed","","","125977","","AfricaHomePageTest","","AfricaHomePageTest","","verifyDiscoverAndLetsTalkLinksTest@Chrome(version=""87"", platform=""MAC"")",""
"passed","","","135333","","AfricaHomePageTest","","AfricaHomePageTest","","verifyHomePageMenuItemsTest@Safari(version=""13"", platform=""MAC"")",""
"passed","","","23173","","AfricaHomePageTest","","AfricaHomePageTest","","verifyAllHomePageElementsPresentTest@Firefox(version=""77"", platform=""MAC"")",""
"passed","","","22223","","AfricaHomePageTest","","AfricaHomePageTest","","verifyAllHomePageElementsPresentTest@Firefox(version=""77"", platform=""WINDOWS"")",""
"passed","","","69286","","AfricaHomePageTest","","AfricaHomePageTest","","verifySocialLinksTest@Edge(version=""83"", platform=""WINDOWS"")",""
"passed","","","42316","","AfricaHomePageTest","","AfricaHomePageTest","","verifyFooterLinksTest@Firefox(version=""77"", platform=""MAC"")",""
"passed","","","121712","","AfricaHomePageTest","","AfricaHomePageTest","","verifyVideosFromHomePageTest@Firefox(version=""77"", platform=""WINDOWS"")",""
"passed","","","93068","","AfricaHomePageTest","","AfricaHomePageTest","","verifyHomePageMenuItemsTest@Edge(version=""83"", platform=""WINDOWS"")",""
"passed","","","41404","","AfricaHomePageTest","","AfricaHomePageTest","","verifyFooterLinksTest@Chrome(version=""87"", platform=""MAC"")",""
"broken","","","29844","","AfricaHomePageTest","","AfricaHomePageTest","","verifyFooterLinksTest@Safari(version=""13"", platform=""MAC"")",""
"passed","","","61558","","AfricaHomePageTest","","AfricaHomePageTest","","verifySocialLinksTest@Firefox(version=""77"", platform=""WINDOWS"")",""
"passed","","","119325","","AfricaHomePageTest","","AfricaHomePageTest","","verifyVideosFromHomePageTest@Firefox(version=""77"", platform=""MAC"")",""
"passed","","","60470","","AfricaHomePageTest","","AfricaHomePageTest","","verifyFooterLinksTest@Firefox(version=""77"", platform=""WINDOWS"")",""
"passed","","","540839","","AfricaHomePageTest","","AfricaHomePageTest","","verifyHomePagePartnerLinksTest@Edge(version=""83"", platform=""WINDOWS"")",""
"passed","","","69675","","AfricaHomePageTest","","AfricaHomePageTest","","verifyHomePagePartnerLinksTest@Safari(version=""13"", platform=""MAC"")",""
"passed","","","22377","","AfricaHomePageTest","","AfricaHomePageTest","","verifyAllHomePageElementsPresentTest@Safari(version=""13"", platform=""MAC"")",""
"passed","","","115065","","AfricaHomePageTest","","AfricaHomePageTest","","verifyDiscoverAndLetsTalkLinksTest@Firefox(version=""77"", platform=""WINDOWS"")",""
"passed","","","54806","","AfricaHomePageTest","","AfricaHomePageTest","","verifySocialLinksTest@Chrome(version=""87"", platform=""MAC"")",""
"passed","","","92499","","AfricaHomePageTest","","AfricaHomePageTest","","verifySocialLinksTest@Chrome(version=""87"", platform=""WINDOWS"")",""
"passed","","","49998","","AfricaHomePageTest","","AfricaHomePageTest","","verifySocialLinksTest@Firefox(version=""77"", platform=""MAC"")",""
"broken","","","12083","","AfricaHomePageTest","","AfricaHomePageTest","","verifyVideosFromHomePageTest@Safari(version=""13"", platform=""MAC"")",""
"broken","","","48362","","AfricaHomePageTest","","AfricaHomePageTest","","verifyHomePageMenuItemsTest@Firefox(version=""77"", platform=""WINDOWS"")",""
"passed","","","125145","","AfricaHomePageTest","","AfricaHomePageTest","","verifyDiscoverAndLetsTalkLinksTest@Edge(version=""83"", platform=""WINDOWS"")",""
"passed","","","110786","","AfricaHomePageTest","","AfricaHomePageTest","","verifyFooterLinksTest@Edge(version=""83"", platform=""WINDOWS"")",""
"passed","","","121654","","AfricaHomePageTest","","AfricaHomePageTest","","verifyVideosFromHomePageTest@Chrome(version=""87"", platform=""MAC"")",""
"passed","","","19480","","AfricaHomePageTest","","AfricaHomePageTest","","verifyDiscoverAndLetsTalkLinksTest@Safari(version=""13"", platform=""MAC"")",""
