"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","170067","","MobileTest.MobileCardanoDocsLearnTest","","MobileTest.MobileCardanoDocsLearnTest","","verifyMobileCardanoDocsLearnNextButtonsAndPreviousButtonTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","44005","","DesktopTest.CardanoDocsToolsTest","","DesktopTest.CardanoDocsToolsTest","","verifyCardanoDocsToolsNextButtonsAndPreviousButtonTest@Chrome(version=""90"", platform=""MAC"")",""
"failed","","","50287","","MobileTest.MobileCardanoDocsCoreConceptsTest","","MobileTest.MobileCardanoDocsCoreConceptsTest","","verifyMobileCoreConceptsSubmenuTest@Android(version=""10"", platform=""ANDROID"")",""
"broken","","","39491","","MobileTest.MobileCardanoDocsHomeTest","","MobileTest.MobileCardanoDocsHomeTest","","verifyMobileFooterLinksTest@Android(version=""10"", platform=""ANDROID"")",""
"broken","","","65867","","DesktopTest.CardanoDocsNativeTokensTest","","DesktopTest.CardanoDocsNativeTokensTest","","verifyCardanoDocsNativeTokensPageLinksTest@Chrome(version=""90"", platform=""WINDOWS"")",""
"failed","","","406374","","DesktopTest.CardanoDocsCardanoComponentsTest","","DesktopTest.CardanoDocsCardanoComponentsTest","","verifyCardanoComponentsPageLinksTest@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","117325","","DesktopTest.CardanoDocsNewToCardanoTest","","DesktopTest.CardanoDocsNewToCardanoTest","","verifyCardanoDocsNewToCardanoNextButtonsAndPreviousButtonTest@Firefox(version=""88"", platform=""MAC"")",""
"passed","","","39932","","DesktopTest.CardanoDocsMarloweTest","","DesktopTest.CardanoDocsMarloweTest","","verifyCardanoDocsMarloweSubmenuTest@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","111477","","DesktopTest.CardanoDocsCardanoComponentsTest","","DesktopTest.CardanoDocsCardanoComponentsTest","","verifyCardanoComponentsNextButtonsAndPreviousButtonTest@Chrome(version=""90"", platform=""WINDOWS"")",""
"broken","","","32338","","DesktopTest.CardanoDocsToolsTest","","DesktopTest.CardanoDocsToolsTest","","verifyCardanoDocsToolsPageLinksTest@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","2397","","MobileTest.MobileCardanoDocsNativeTokensTest","","MobileTest.MobileCardanoDocsNativeTokensTest","","verifyMobileCardanoDocsLearnPageLinksTest@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","21421","","DesktopTest.CardanoDocsToolsTest","","DesktopTest.CardanoDocsToolsTest","","verifyCardanoExplorerIframeTest@Firefox(version=""88"", platform=""WINDOWS"")",""
"broken","","","13044","","MobileTest.MobileCardanoDocsHomeTest","","MobileTest.MobileCardanoDocsHomeTest","","verifyMobileIntroductionPageContentTest@Android(version=""10"", platform=""ANDROID"")",""
"broken","","","331161","","DesktopTest.CardanoDocsCommunityTest","","DesktopTest.CardanoDocsCommunityTest","","verifyCardanoDocsCommunityPageLinksTest@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","22373","","DesktopTest.CardanoDocsToolsTest","","DesktopTest.CardanoDocsToolsTest","","verifyCardanoExplorerIframeTest@Edge(version=""90"", platform=""WINDOWS"")",""
"passed","","","108025","","MobileTest.MobileCardanoDocsCardanoComponentsTest","","MobileTest.MobileCardanoDocsCardanoComponentsTest","","verifyMobileCardanoComponentsSubmenuTest@IPhone(version=""11"", platform=""IOS"")",""
"broken","","","29701","","DesktopTest.CardanoDocsToolsTest","","DesktopTest.CardanoDocsToolsTest","","verifyCardanoDocsToolsPageLinksTest@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","76546","","DesktopTest.CardanoDocsGettingStartedTest","","DesktopTest.CardanoDocsGettingStartedTest","","verifyNextAndPreviousNavigation@Firefox(version=""88"", platform=""WINDOWS"")",""
"failed","","","7570","","DesktopTest.CardanoDocsHomeTest","","DesktopTest.CardanoDocsHomeTest","","verifyIntroductionCardanoHaskellLinksTest@Chrome(version=""90"", platform=""WINDOWS"")",""
"broken","","","8647","","DesktopTest.CardanoDocsHomeTest","","DesktopTest.CardanoDocsHomeTest","","verifyIntroductionPageContentTest@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","38444","","DesktopTest.CardanoDocsRosettaTest","","DesktopTest.CardanoDocsRosettaTest","","verifyCardanoDocsRosettaSubmenuTest@Safari(version=""14"", platform=""MAC"")",""
"passed","","","83768","","DesktopTest.CardanoDocsNativeTokensTest","","DesktopTest.CardanoDocsNativeTokensTest","","verifyCardanoDocsNativeTokensNextButtonsAndPreviousButtonTest@Chrome(version=""90"", platform=""WINDOWS"")",""
"broken","","","42897","","DesktopTest.CardanoDocsLearnTest","","DesktopTest.CardanoDocsLearnTest","","verifyCardanoDocsLearnPageLinksTest@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","78841","","DesktopTest.CardanoDocsCardanoComponentsTest","","DesktopTest.CardanoDocsCardanoComponentsTest","","verifyCardanoComponentsSubmenuTest@Safari(version=""14"", platform=""MAC"")",""
"passed","","","60390","","DesktopTest.CardanoDocsNewToCardanoTest","","DesktopTest.CardanoDocsNewToCardanoTest","","verifyCardanoDocsNewToCardanoSubmenuTest@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","103754","","DesktopTest.CardanoDocsNativeTokensTest","","DesktopTest.CardanoDocsNativeTokensTest","","verifyCardanoDocsNativeTokensNextButtonsAndPreviousButtonTest@Edge(version=""90"", platform=""WINDOWS"")",""
"broken","","","22171","","DesktopTest.CardanoDocsNewToCardanoTest","","DesktopTest.CardanoDocsNewToCardanoTest","","verifyCardanoDocsNewToCardanoPageLinksTest@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","36952","","DesktopTest.CardanoDocsMarloweTest","","DesktopTest.CardanoDocsMarloweTest","","verifyCardanoDocsMarloweSubmenuTest@Chrome(version=""90"", platform=""MAC"")",""
"broken","","","33638","","MobileTest.MobileCardanoDocsHomeTest","","MobileTest.MobileCardanoDocsHomeTest","","verifyMobileFooterLinksTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","25073","","MobileTest.MobileCardanoPlutsTest","","MobileTest.MobileCardanoPlutsTest","","verifyMobileCardanoDocsPlutsSubmenuTest@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","165890","","DesktopTest.CardanoDocsCommunityTest","","DesktopTest.CardanoDocsCommunityTest","","verifyCardanoDocsCommunityPageLinksTest@Firefox(version=""88"", platform=""MAC"")",""
"passed","","","19870","","DesktopTest.CardanoDocsToolsTest","","DesktopTest.CardanoDocsToolsTest","","verifyCardanoExplorerIframeTest@Firefox(version=""88"", platform=""MAC"")",""
