"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","39381","","IohkIoTest.IohkIoBlogTest","","IohkIoTest.IohkIoBlogTest","","verifySearchBoxValidation@Firefox(version=""88"", platform=""MAC"")",""
"broken","","","78442","","IohkIoTest.IohkIoHomeTest","","IohkIoTest.IohkIoHomeTest","","verifyInformationModalOnAnimation@Edge(version=""90"", platform=""WINDOWS"")",""
"passed","","","49534","","IohkIoTest.IohkIoHomeTest","","IohkIoTest.IohkIoHomeTest","","verifyMenuRedirection@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","39858","","IohkIoTest.IohkIoHomeTest","","IohkIoTest.IohkIoHomeTest","","verifyContactForm@Safari(version=""14"", platform=""MAC"")",""
"passed","","","39868","","IohkIoTest.IohkIoBlogTest","","IohkIoTest.IohkIoBlogTest","","verifySearchBoxValidation@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","112081","","IohkIoTest.IohkIoHomeTest","","IohkIoTest.IohkIoHomeTest","","verifyLogoRedirectsToHomepage@Chrome(version=""90"", platform=""WINDOWS"")",""
"failed","","","31814","","IohkIoTest.IohkIoBlogTest","","IohkIoTest.IohkIoBlogTest","","verifySearchResultsPresent@Safari(version=""14"", platform=""MAC"")",""
"broken","","","65888","","IohkIoTest.IohkIoResearchTest","","IohkIoTest.IohkIoResearchTest","","verifyResearchPage@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","225801","","IohkIoTest.IohkIoResearchTest","","IohkIoTest.IohkIoResearchTest","","verifyResearchersTeamPage@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","299562","","IohkIoTest.IohkIoResearchTest","","IohkIoTest.IohkIoResearchTest","","verifyResearchersTeamPage@Edge(version=""90"", platform=""WINDOWS"")",""
"passed","","","21150","","IohkIoTest.IohkIoHomeTest","","IohkIoTest.IohkIoHomeTest","","verifyTeamMembers@Firefox(version=""88"", platform=""MAC"")",""
"passed","","","54465","","IohkIoTest.IohkIoHomeTest","","IohkIoTest.IohkIoHomeTest","","verifyLogoRedirectsToHomepage@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","50963","","IohkIoTest.IohkIoHomeTest","","IohkIoTest.IohkIoHomeTest","","verifyMenuRedirection@Firefox(version=""88"", platform=""MAC"")",""
"passed","","","89236","","IohkIoTest.IohkIoHomeTest","","IohkIoTest.IohkIoHomeTest","","verifyAboutLinks@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","68620","","IohkIoTest.IohkIoHomeTest","","IohkIoTest.IohkIoHomeTest","","verifyAboutLinks@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","455774","","IohkIoTest.IohkIoHomeTest","","IohkIoTest.IohkIoHomeTest","","verifyHomePageMenuItems@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","82718","","IohkIoTest.IohkIoHomeTest","","IohkIoTest.IohkIoHomeTest","","verifyLogoRedirectsToHomepage@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","33107","","IohkIoTest.IohkIoBlogTest","","IohkIoTest.IohkIoBlogTest","","verifyNoSearchResultsPresent@Firefox(version=""88"", platform=""MAC"")",""
