"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","15222","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePageMenuItemsTest@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","108016","","DesktopTests.AfricaContactTest","","DesktopTests.AfricaContactTest","","verifyFooterLinks@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","142219","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePagePartnerLinksTest@Edge(version=""90"", platform=""WINDOWS"")",""
"passed","","","27072","","DesktopTests.AfricaContactTest","","DesktopTests.AfricaContactTest","","verifyContactForm@Firefox(version=""88"", platform=""MAC"")",""
"broken","","","17895","","MobileTests.MobileContactTest","","MobileTests.MobileContactTest","","verifyFooterLinksTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","12443","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyDiscoverAndLetsTalkLinksTest@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","183392","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyVideosFromHomePageTest@Firefox(version=""88"", platform=""MAC"")",""
"passed","","","17217","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyAllHomePageElementsPresentTest@Firefox(version=""88"", platform=""WINDOWS"")",""
"failed","","","23798","","MobileTests.MobileContactTest","","MobileTests.MobileContactTest","","verifyContactFormTest@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","45858","","DesktopTests.AfricaContactTest","","DesktopTests.AfricaContactTest","","verifySocialLinks@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","34579","","MobileTests.MobileContactTest","","MobileTests.MobileContactTest","","verifyContactFormTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","47175","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyFooterLinksTest@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","84803","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePagePartnerLinksTest@Safari(version=""14"", platform=""MAC"")",""
"passed","","","32140","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyAllHomePageElementsPresentTest@Edge(version=""90"", platform=""WINDOWS"")",""
"passed","","","43746","","DesktopTests.AfricaContactTest","","DesktopTests.AfricaContactTest","","verifyFooterLinks@Firefox(version=""88"", platform=""MAC"")",""
"passed","","","30321","","DesktopTests.AfricaContactTest","","DesktopTests.AfricaContactTest","","verifyContactForm@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","131425","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyFooterLinksTest@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","29375","","MobileTests.MobileHomeTest","","MobileTests.MobileHomeTest","","verifyHomePagePartnerLinksTest@Android(version=""10"", platform=""ANDROID"")",""
"failed","","","39624","","MobileTests.MobileContactTest","","MobileTests.MobileContactTest","","verifySocialLinksTest@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","17650","","MobileTests.MobileHomeTest","","MobileTests.MobileHomeTest","","verifyAllHomePageElementsPresentTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","203893","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyVideosFromHomePageTest@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","38218","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySocialLinksTest@Safari(version=""14"", platform=""MAC"")",""
"passed","","","19325","","MobileTests.MobileHomeTest","","MobileTests.MobileHomeTest","","verifyHomePageMenuItemsTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","62554","","DesktopTests.AfricaContactTest","","DesktopTests.AfricaContactTest","","verifyFooterLinks@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","15549","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyAllHomePageElementsPresentTest@Firefox(version=""88"", platform=""MAC"")",""
"passed","","","7190","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyDiscoverAndLetsTalkLinksTest@Safari(version=""14"", platform=""MAC"")",""
"passed","","","177650","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyVideosFromHomePageTest@Safari(version=""14"", platform=""MAC"")",""
"passed","","","37400","","DesktopTests.AfricaContactTest","","DesktopTests.AfricaContactTest","","verifyFooterLinks@Safari(version=""14"", platform=""MAC"")",""
"passed","","","34219","","MobileTests.MobileHomeTest","","MobileTests.MobileHomeTest","","verifyHomePagePartnerLinksTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","25860","","DesktopTests.AfricaContactTest","","DesktopTests.AfricaContactTest","","verifyContactForm@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","41145","","DesktopTests.AfricaContactTest","","DesktopTests.AfricaContactTest","","verifySocialLinks@Firefox(version=""88"", platform=""MAC"")",""
"passed","","","14670","","MobileTests.MobileHomeTest","","MobileTests.MobileHomeTest","","verifyHomePageMenuItemsTest@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","52534","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyFooterLinksTest@Firefox(version=""88"", platform=""MAC"")",""
"passed","","","44257","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyFooterLinksTest@Safari(version=""14"", platform=""MAC"")",""
"passed","","","167192","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyVideosFromHomePageTest@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","59739","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySocialLinksTest@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","40083","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySocialLinksTest@Edge(version=""90"", platform=""WINDOWS"")",""
"passed","","","15316","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePageMenuItemsTest@Firefox(version=""88"", platform=""MAC"")",""
"broken","","","16781","","MobileTests.MobileHomeTest","","MobileTests.MobileHomeTest","","verifyVideosFromHomePageTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","11337","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyDiscoverAndLetsTalkLinksTest@Firefox(version=""88"", platform=""MAC"")",""
"passed","","","16748","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyAllHomePageElementsPresentTest@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","10554","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyDiscoverAndLetsTalkLinksTest@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","30071","","DesktopTests.AfricaContactTest","","DesktopTests.AfricaContactTest","","verifyContactForm@Edge(version=""90"", platform=""WINDOWS"")",""
"passed","","","15699","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePageMenuItemsTest@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","286858","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePagePartnerLinksTest@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","15971","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyHomePageMenuItemsTest@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","22986","","DesktopTests.AfricaContactTest","","DesktopTests.AfricaContactTest","","verifyContactForm@Safari(version=""14"", platform=""MAC"")",""
"passed","","","39109","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyFooterLinksTest@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","113183","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyFooterLinksTest@Edge(version=""90"", platform=""WINDOWS"")",""
"passed","","","37813","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySocialLinksTest@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","42030","","DesktopTests.AfricaContactTest","","DesktopTests.AfricaContactTest","","verifySocialLinks@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","40187","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifySocialLinksTest@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","11252","","DesktopTests.AfricaHomePageTest","","DesktopTests.AfricaHomePageTest","","verifyDiscoverAndLetsTalkLinksTest@Edge(version=""90"", platform=""WINDOWS"")",""
