"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","521824","","MobileSummitTests.CardanoMobileSummitSessionsTest","","MobileSummitTests.CardanoMobileSummitSessionsTest","","verifySessionPageTogglesTest@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","668409","","DesktopSummitTests.CardanoSummitSpeakersPageTest","","DesktopSummitTests.CardanoSummitSpeakersPageTest","","verfiySpeakersSections@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","632350","","DesktopSummitTests.CardanoSummitSpeakersPageTest","","DesktopSummitTests.CardanoSummitSpeakersPageTest","","verfiySpeakersSections@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","170217","","MobileSummitTests.CardanoMobileSummitSpeakersPageTest","","MobileSummitTests.CardanoMobileSummitSpeakersPageTest","","verifyMobileBurgerMenuTest@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","15634","","DesktopSummitTests.CardanoSummitHomePageTest","","DesktopSummitTests.CardanoSummitHomePageTest","","verifyNewsLetterSignupSection@Safari(version=""14"", platform=""MAC"")",""
"passed","","","450878","","DesktopSummitTests.ContactPageTest","","DesktopSummitTests.ContactPageTest","","verifyContactPage@Safari(version=""14"", platform=""MAC"")",""
"passed","","","18530","","DesktopSummitTests.CardanoSummitHomePageTest","","DesktopSummitTests.CardanoSummitHomePageTest","","verifySpeakerSection@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","479629","","DesktopSummitTests.CardanoSessionsSummitTest","","DesktopSummitTests.CardanoSessionsSummitTest","","verifySessionPageToggles@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","218418","","DesktopSummitTests.MediaPartnersTest","","DesktopSummitTests.MediaPartnersTest","","verifyPartnersSections@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","22272","","DesktopSummitTests.CardanoSummitHomePageTest","","DesktopSummitTests.CardanoSummitHomePageTest","","verifySpeakerSection@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","8140","","DesktopSummitTests.CardanoSummitHomePageTest","","DesktopSummitTests.CardanoSummitHomePageTest","","verifyNewsLetterSignupSection@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","409938","","DesktopSummitTests.ContactPageTest","","DesktopSummitTests.ContactPageTest","","verifyContactPage@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","84888","","DesktopSummitTests.CardanoSummitHomePageTest","","DesktopSummitTests.CardanoSummitHomePageTest","","verifyExploreWorldsSection@Edge(version=""90"", platform=""WINDOWS"")",""
"broken","","","37747","","DesktopSummitTests.CardanoSummitHomePageTest","","DesktopSummitTests.CardanoSummitHomePageTest","","verifyHomePageFooterItems@Chrome(version=""90"", platform=""MAC"")",""
