"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","227998","","DesktopSummitTests.CardanoSummitSpeakersPageTest","","DesktopSummitTests.CardanoSummitSpeakersPageTest","","verfiySpeakersPageDropdownSorting@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","8850","","DesktopSummitTests.CardanoSummitHomePageTest","","DesktopSummitTests.CardanoSummitHomePageTest","","verifyNewsLetterSignupSection@Firefox(version=""88"", platform=""MAC"")",""
"broken","","","149101","","DesktopSummitTests.ContactPageTest","","DesktopSummitTests.ContactPageTest","","verifyContactPage@Edge(version=""90"", platform=""WINDOWS"")",""
"passed","","","14804","","DesktopSummitTests.CardanoSummitHomePageTest","","DesktopSummitTests.CardanoSummitHomePageTest","","verifyNewsLetterSignupSection@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","68392","","DesktopSummitTests.CardanoSummitHomePageTest","","DesktopSummitTests.CardanoSummitHomePageTest","","verifyExploreWorldsSection@Safari(version=""14"", platform=""MAC"")",""
"passed","","","","","DesktopSummitTests.CardanoSummitSpeakersPageTest","","DesktopSummitTests.CardanoSummitSpeakersPageTest","","verfiySpeakersSections@Safari(version=""14"", platform=""MAC"")",""
"passed","","","16245","","DesktopSummitTests.CardanoSummitHomePageTest","","DesktopSummitTests.CardanoSummitHomePageTest","","verifyAllArticlesMenu@Firefox(version=""88"", platform=""MAC"")",""
"passed","","","10200","","DesktopSummitTests.CardanoSummitHomePageTest","","DesktopSummitTests.CardanoSummitHomePageTest","","verifyAllArticlesMenu@Chrome(version=""90"", platform=""WINDOWS"")",""
"broken","","","153232","","DesktopSummitTests.CardanoSummitHomePageTest","","DesktopSummitTests.CardanoSummitHomePageTest","","verifyHomePageFooterItems@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","426233","","DesktopSummitTests.CardanoSessionsSummitTest","","DesktopSummitTests.CardanoSessionsSummitTest","","verifySessionPageToggles@Firefox(version=""88"", platform=""MAC"")",""
"passed","","","50467","","DesktopSummitTests.CardanoSummitHomePageTest","","DesktopSummitTests.CardanoSummitHomePageTest","","verifyExploreWorldsSection@Chrome(version=""90"", platform=""WINDOWS"")",""
