"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","43470","","DesktopTest.UtxoHomePageTest","","DesktopTest.UtxoHomePageTest","","verifyFooterSection@Safari(version=""14"", platform=""MAC"")",""
"passed","","","40455","","DesktopTest.UtxoHomePageTest","","DesktopTest.UtxoHomePageTest","","verifyFooterSection@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","68144","","MobileTest.UtxoHomePageTest","","MobileTest.UtxoHomePageTest","","verifyUtxoMobileMenuItems@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","25590","","MobileTest.UtxoHomePageTest","","MobileTest.UtxoHomePageTest","","verifyFormSection@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","31996","","DesktopTest.UtxoHomePageTest","","DesktopTest.UtxoHomePageTest","","verifyFormSection@Safari(version=""14"", platform=""MAC"")",""
"passed","","","41111","","MobileTest.UtxoHomePageTest","","MobileTest.UtxoHomePageTest","","verifyFooterSection@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","29645","","MobileTest.UtxoHomePageTest","","MobileTest.UtxoHomePageTest","","verifyFormSection@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","40384","","DesktopTest.UtxoHomePageTest","","DesktopTest.UtxoHomePageTest","","verifyFooterSection@Chrome(version=""90"", platform=""WINDOWS"")",""
"failed","","","17959","","DesktopTest.UtxoHomePageTest","","DesktopTest.UtxoHomePageTest","","verifyVideoItems@Safari(version=""14"", platform=""MAC"")",""
"passed","","","37408","","DesktopTest.UtxoHomePageTest","","DesktopTest.UtxoHomePageTest","","verifyVideoItems@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","26323","","DesktopTest.UtxoHomePageTest","","DesktopTest.UtxoHomePageTest","","verifyFormSection@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","40610","","DesktopTest.UtxoHomePageTest","","DesktopTest.UtxoHomePageTest","","verifyFooterSection@Chrome(version=""90"", platform=""MAC"")",""
"failed","","","24359","","MobileTest.UtxoHomePageTest","","MobileTest.UtxoHomePageTest","","verifyUtxoMobileVideoItems@IPhone(version=""11"", platform=""IOS"")",""
"passed","","","69361","","MobileTest.UtxoHomePageTest","","MobileTest.UtxoHomePageTest","","verifyUtxoMobileMenuItems@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","36670","","DesktopTest.UtxoHomePageTest","","DesktopTest.UtxoHomePageTest","","verifyVideoItems@Firefox(version=""88"", platform=""MAC"")",""
"passed","","","37505","","DesktopTest.UtxoHomePageTest","","DesktopTest.UtxoHomePageTest","","verifyVideoItems@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","37679","","DesktopTest.UtxoHomePageTest","","DesktopTest.UtxoHomePageTest","","verifyVideoItems@Edge(version=""90"", platform=""WINDOWS"")",""
"passed","","","40144","","DesktopTest.UtxoHomePageTest","","DesktopTest.UtxoHomePageTest","","verifyFooterSection@Firefox(version=""88"", platform=""MAC"")",""
"passed","","","37947","","DesktopTest.UtxoHomePageTest","","DesktopTest.UtxoHomePageTest","","verifyUtxoMenuItems@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","50082","","DesktopTest.UtxoHomePageTest","","DesktopTest.UtxoHomePageTest","","verifyUtxoMenuItems@Edge(version=""90"", platform=""WINDOWS"")",""
"passed","","","38486","","DesktopTest.UtxoHomePageTest","","DesktopTest.UtxoHomePageTest","","verifyVideoItems@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","27838","","DesktopTest.UtxoHomePageTest","","DesktopTest.UtxoHomePageTest","","verifyFormSection@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","38925","","DesktopTest.UtxoHomePageTest","","DesktopTest.UtxoHomePageTest","","verifyUtxoMenuItems@Firefox(version=""88"", platform=""MAC"")",""
"passed","","","24889","","DesktopTest.UtxoHomePageTest","","DesktopTest.UtxoHomePageTest","","verifyFormSection@Firefox(version=""88"", platform=""MAC"")",""
"passed","","","39437","","MobileTest.UtxoHomePageTest","","MobileTest.UtxoHomePageTest","","verifyFooterSection@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","41194","","DesktopTest.UtxoHomePageTest","","DesktopTest.UtxoHomePageTest","","verifyFooterSection@Edge(version=""90"", platform=""WINDOWS"")",""
"passed","","","40011","","MobileTest.UtxoHomePageTest","","MobileTest.UtxoHomePageTest","","verifyUtxoMobileVideoItems@Android(version=""10"", platform=""ANDROID"")",""
"passed","","","31282","","DesktopTest.UtxoHomePageTest","","DesktopTest.UtxoHomePageTest","","verifyFormSection@Edge(version=""90"", platform=""WINDOWS"")",""
"passed","","","37563","","DesktopTest.UtxoHomePageTest","","DesktopTest.UtxoHomePageTest","","verifyUtxoMenuItems@Firefox(version=""88"", platform=""WINDOWS"")",""
"passed","","","37843","","DesktopTest.UtxoHomePageTest","","DesktopTest.UtxoHomePageTest","","verifyUtxoMenuItems@Chrome(version=""90"", platform=""WINDOWS"")",""
"passed","","","25837","","DesktopTest.UtxoHomePageTest","","DesktopTest.UtxoHomePageTest","","verifyFormSection@Chrome(version=""90"", platform=""MAC"")",""
"passed","","","40976","","DesktopTest.UtxoHomePageTest","","DesktopTest.UtxoHomePageTest","","verifyUtxoMenuItems@Safari(version=""14"", platform=""MAC"")",""
